Materials Id,Formula,Spacegroup,Formation Energy (eV),E Above Hull (eV),Band Gap (eV),Has Bandstructure,Volume,Nsites,Theoretical,Count,Density (gm/cc),Crystal System,Polycrystalline Dielectric Constant
mp-2371,Ga2Te5,I4/m,-0.24,0,1.018,TRUE,234.684,7,FALSE,,5.501,tetragonal," 13.85566666674267,"
mp-3532,CrAgSe2,R3m,-0.361,0,0.235,TRUE,86.33,4,FALSE,,6.113,trigonal," 15.19546533333333,"
mp-1228446,Al3BC,P63/mmc,-0.098,0,0.453,TRUE,122.697,10,TRUE,,2.809,hexagonal," 11.897220667182701,"
mp-28373,BaP3Pt2,P21/c,-0.899,0,0.241,TRUE,554.935,24,FALSE,,7.426,monoclinic," 19.634,"
mp-1220004,PIrS,P213,-0.954,0,1.862,FALSE,184.564,12,TRUE,,9.186,cubic," 14.572737999999996,"
mp-15649,As2Ir,P21/c,-0.483,0,1.153,TRUE,217.343,12,FALSE,,10.454,monoclinic," 21.35766666666667,"
mp-540569,CsCr5S8,C2/m,-1.18,0,0.337,TRUE,272.697,14,FALSE,,3.954,monoclinic," 12.066043262465861,"
mp-541844,Ge5Ir4,P4c2,-0.354,0,0.412,TRUE,601.474,36,FALSE,,12.502,tetragonal," 42.719499000000006,"
mp-7771,Sr(CdAs)2,P3m1,-0.632,0,0.135,TRUE,132.986,5,FALSE,,5.772,trigonal," 137.10337333333337,"
mp-11265,BaCaSn,Pnma,-0.684,0,0.244,TRUE,463.85,12,FALSE,,4.24,orthorhombic," 22.985666666666663,"
mp-1156,GaSb,F43m,-0.157,0,0.365,TRUE,60.133,2,FALSE,,5.288,cubic," 24.080946999999966,"
mp-19717,TePb,Fm3m,-0.406,0,1.058,TRUE,70.758,2,FALSE,,7.857,cubic," 26.218126000000037,"
mp-20450,YCrB4,Pbam,-0.652,0,0.237,TRUE,234.643,24,FALSE,,5.213,orthorhombic," 41.459,"
mp-978553,SiAs2,Pbam,-0.072,0,0.896,TRUE,581.965,24,FALSE,,4.062,orthorhombic," 11.687333333333333,"
mp-21609,SrCuN,Pnma,-0.564,0,0.262,TRUE,649.887,36,FALSE,,5.064,orthorhombic," 12.010069333333334,"
mp-541487,TlPt2Se3,P3m1,-0.442,0,0.675,TRUE,298.432,12,FALSE,,9.253,trigonal," 17.133976333333347,"
mp-7038,TlPd2Se3,P3m1,-0.393,0,0.191,TRUE,295.838,12,FALSE,,7.343,trigonal," 25.840666666666724,"
mp-14983,Si4P4Ru,P1,-0.359,0,1.492,TRUE,153.128,9,FALSE,,3.658,triclinic," 15.147006000000003,"
mp-17833,Ba3GeO,Pnma,-1.444,0,0.454,TRUE,643.699,20,FALSE,,5.166,orthorhombic," 16.270793,"
mp-4025,TmNiSb,F43m,-0.901,0,0.314,TRUE,62.27,3,FALSE,,9.317,cubic," 18.578459999999968,"
mp-569571,Nb3Sb2Te5,I43m,-0.395,0,1.093,TRUE,488.295,20,FALSE,,7.891,cubic," 23.79308100000002,"
mp-984350,Dy3Sb4Au3,I43d,-0.811,0,0.567,TRUE,489.889,20,FALSE,,10.613,cubic," 27.32401499999999,"
mp-1102857,SbTeRu,P21/c,-0.323,0,0.802,TRUE,271.542,12,FALSE,,8.572,monoclinic," 22.772511000000005,"
mp-13097,NaZnAs,P4/nmm,-0.42,0,0.358,TRUE,125.765,6,FALSE,,4.313,tetragonal," 18.105999999999995,"
mp-1190030,La3Sb4Au3,I43d,-0.959,0,0.603,TRUE,538.402,20,FALSE,,9.22,cubic," 26.372295000000005,"
mp-27655,Te2I,Pnma,-0.059,0,0.664,TRUE,1003.965,24,FALSE,,5.056,orthorhombic," 12.149333333333336,"
mp-12903,YAgTe2,P421m,-0.928,0,1.311,TRUE,241.036,8,FALSE,,6.227,tetragonal," 11.232284000000002,"
mp-22856,Bi2S3,Pnma,-0.742,0,1.503,TRUE,527.166,20,FALSE,,6.478,orthorhombic," 12.461814666666667,"
mp-569267,Ca2CdSb2,Pnma,-0.791,0,0.648,TRUE,604.892,20,FALSE,,4.789,orthorhombic," 13.426999999999998,"
mp-7684,Tl3AsSe3,R3m,-0.316,0,1.192,TRUE,220.32,7,FALSE,,6.971,trigonal," 10.462333333328884,"
mp-2114,YN,Fm3m,-1.879,0,0.286,TRUE,29.758,2,FALSE,,5.743,cubic," 15.428000000000424,"
mp-304,Ca2Ge,Pnma,-0.62,0,0.312,TRUE,339.279,12,FALSE,,2.991,orthorhombic," 16.557333333333332,"
